"city","name","data"
160,BOLIVAR-CORDOBA,"{""city_code"": 212, ""city_name"": ""CORDOBA"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
161,BOLIVAR-CLEMENCIA,"{""city_code"": 222, ""city_name"": ""CLEMENCIA"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
162,BOLIVAR-EL CARMEN DE BOLIVAR,"{""city_code"": 244, ""city_name"": ""EL CARMEN DE BOLIVAR"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
163,BOLIVAR-EL GUAMO,"{""city_code"": 248, ""city_name"": ""EL GUAMO"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
164,BOLIVAR-EL PEÑON,"{""city_code"": 268, ""city_name"": ""EL PEÑON"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
165,BOLIVAR-HATILLO DE LOBA,"{""city_code"": 300, ""city_name"": ""HATILLO DE LOBA"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
166,BOLIVAR-MAGANGUE,"{""city_code"": 430, ""city_name"": ""MAGANGUE"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
167,BOLIVAR-MAHATES,"{""city_code"": 433, ""city_name"": ""MAHATES"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
168,BOLIVAR-MARGARITA,"{""city_code"": 440, ""city_name"": ""MARGARITA"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
169,BOLIVAR-MARIA LA BAJA,"{""city_code"": 442, ""city_name"": ""MARIA LA BAJA"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
170,BOLIVAR-MONTECRISTO,"{""city_code"": 458, ""city_name"": ""MONTECRISTO"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
171,BOLIVAR-MOMPOS,"{""city_code"": 468, ""city_name"": ""MOMPOS"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
172,BOLIVAR-NOROSI,"{""city_code"": 490, ""city_name"": ""NOROSI"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
173,BOLIVAR-MORALES,"{""city_code"": 473, ""city_name"": ""MORALES"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
174,BOLIVAR-PINILLOS,"{""city_code"": 549, ""city_name"": ""PINILLOS"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
175,BOLIVAR-REGIDOR,"{""city_code"": 580, ""city_name"": ""REGIDOR"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
176,BOLIVAR-RIO VIEJO,"{""city_code"": 600, ""city_name"": ""RIO VIEJO"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
177,BOLIVAR-SAN CRISTOBAL,"{""city_code"": 620, ""city_name"": ""SAN CRISTOBAL"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
178,BOLIVAR-SAN ESTANISLAO,"{""city_code"": 647, ""city_name"": ""SAN ESTANISLAO"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
