optimization_variable,city,date,alpha,iteration,vt_labors,extra_time,dist
hybrid,1,2026-01-08,0.0,842,29,489.3,96.69
hybrid,1,2026-01-08,0.0,894,29,489.3,96.69
hybrid,1,2026-01-08,0.0,947,29,489.3,96.69
hybrid,1,2026-01-08,0.0,1000,29,489.3,96.69
hybrid,126,2026-01-08,0.0,7,7,139.7,26.48
hybrid,126,2026-01-08,0.0,15,7,139.7,26.48
hybrid,126,2026-01-08,0.0,23,7,139.7,26.48
hybrid,126,2026-01-08,0.0,31,7,139.7,26.48
hybrid,126,2026-01-08,0.0,39,7,139.7,26.48
hybrid,126,2026-01-08,0.0,47,7,139.7,26.48
hybrid,126,2026-01-08,0.0,55,7,139.7,26.48
hybrid,126,2026-01-08,0.0,63,7,139.7,26.48
hybrid,126,2026-01-08,0.0,71,7,139.7,26.48
hybrid,126,2026-01-08,0.0,78,7,139.7,26.48
hybrid,126,2026-01-08,0.0,86,7,139.7,26.48
hybrid,126,2026-01-08,0.0,94,7,139.7,26.48
hybrid,126,2026-01-08,0.0,102,7,139.7,26.48
hybrid,126,2026-01-08,0.0,110,7,139.7,26.48
hybrid,126,2026-01-08,0.0,118,7,139.7,26.48
hybrid,126,2026-01-08,0.0,126,7,139.7,26.48
hybrid,126,2026-01-08,0.0,134,7,139.7,26.48
